,product,category,sub_category,brand,sale_price,market_price,image_url,p_url,type,eancode,rating,description
4124,"Chocolate Home Treats Pack, 126 g, 18 Units",Snacks & Branded Foods,Chocolates & Candies,Cadbury Dairy Milk,181.68,298.0,https://www.bigbasket.com/media/uploads/p/s/1200587_2-cadbury-dairy-milk-chocolate-home-treats-pack-126-g-18-units.jpg,https://www.bigbasket.com/pd/1200587/cadbury-dairy-milk-chocolate-home-treats-pack-126-g-18-units-2x126-g/,Chocolates,Invalid Code,4.2,"Cadbury Dairy Milk, your favourite chocolate in the perfect family pack. For those everyday moments of joy that you want to share with your near and dear ones with something sweet. Just one bite will take you into the world of warmth, happiness and spontaneous fun. Rich, smooth and creamy Classic Milk Chocolate which gives you more joy in every bite."
4125,Nutties Chocolate Pack,Snacks & Branded Foods,Chocolates & Candies,Cadbury,39.6,40.0,https://www.bigbasket.com/media/uploads/p/s/267413_9-cadbury-nutties-chocolate-pack.jpg,https://www.bigbasket.com/pd/267413/cadbury-nutties-chocolate-pack-30-g/,Chocolates,8901233028651,4.2,Candied nuts usually almonds and cashews with a thick choclate coating. The chocolate melts in your mouth and the crushed nuts in the center gives it the much needed crunch. Don't give it a second thought try this and give yourself the pleasure of tasting heaven.
4126,Sugar Coated Chocolate,Snacks & Branded Foods,Chocolates & Candies,Cadbury Gems,5.0,5.0,https://www.bigbasket.com/media/uploads/p/s/100021029_7-cadbury-gems-sugar-coated-chocolate.jpg,https://www.bigbasket.com/pd/100021029/cadbury-gems-sugar-coated-chocolate-79-g-pouch/,Chocolates,7622201798260,4.2,"Cadbury Gems is chocolate flavor, rich and chocolate buttons. What makes Gems different is the way the chocolate has been designed as colorful candy. Gems can be used to embellish puddings, cakes, biscuits, homemade chocolates and cookies. It is colourful, tasty and fun. Gems is loved by everyone. Add to any dessert for that extra touch or just eat it how it is for a guaranteed burst of flavours in your mouth."
4127,Dark Chocolate- 55% Rich In Cocoa,Snacks & Branded Foods,Chocolates & Candies,Amul,87.12,100.0,https://www.bigbasket.com/media/uploads/p/s/40003735_9-amul-dark-chocolate-55-rich-in-cocoa.jpg,https://www.bigbasket.com/pd/40003735/amul-dark-chocolate-55-rich-in-cocoa-150-g-carton/,Chocolates,8901262070676,4.3,Amul Dark Chocolate is made with the finest ingredients and rich cocoa. Its strong flavour and silky texture is just what you need to fall in love with pure cocoa for its authentice taste.
4128,Kitkat 7x2 Fingers Share Bag,Snacks & Branded Foods,Chocolates & Candies,Nestle ,79.2,100.0,https://www.bigbasket.com/media/uploads/p/s/40122231_8-nestle-kitkat-7x2-fingers-share-bag.jpg,https://www.bigbasket.com/pd/40122231/nestle-kitkat-7x2-fingers-share-bag-119-g-pack/,Chocolates,8901058894875,4.3,"Share your favourite treats with your favourite people. This Share bag contains 7 individually wrapped KitKat 2 Finger packs. Just unwrap your KitKat, break off one of the fingers, snap into two and savour the delicious crispy treat. Have A Break, Have A Kitkat."
4129,Chocolate,Snacks & Branded Foods,Chocolates & Candies,Cadbury Dairy Milk,111.67,120.0,https://www.bigbasket.com/media/uploads/p/s/1200590_3-cadbury-dairy-milk-chocolate.jpg,https://www.bigbasket.com/pd/1200590/cadbury-dairy-milk-chocolate-3x50-g/,Chocolates,Invalid Code,4.2,"Cadbury Dairy Milk Chocolate is for those everyday moments of joy that you want to share with your near and dear ones with something sweet. Just one bite will take you into the world of warmth, happiness and spontaneous fun. Rich, smooth and creamy Classic Milk Chocolate which gives you more joy in every bite."
4130,Chocolate,Snacks & Branded Foods,Chocolates & Candies,Cadbury Dairy Milk,37.24,40.0,https://www.bigbasket.com/media/uploads/p/s/1206716_2-cadbury-dairy-milk-chocolate.jpg,https://www.bigbasket.com/pd/1206716/cadbury-dairy-milk-chocolate-2x23-g/,Chocolates,Invalid Code,4.2,"Cadbury Dairy Milk Chocolate is for those everyday moments of joy that you want to share with your near and dear ones with something sweet. Just one bite will take you into the world of warmth, happiness and spontaneous fun. Rich, smooth and creamy Classic Milk Chocolate which gives you more joy in every bite."
4131,"Fruit N Nut, Dark Chocolate- 55% Rich In Cocoa",Snacks & Branded Foods,Chocolates & Candies,Amul,87.12,100.0,https://www.bigbasket.com/media/uploads/p/s/40003734_3-amul-fruit-n-nut-dark-chocolate-55-rich-in-cocoa.jpg,https://www.bigbasket.com/pd/40003734/amul-fruit-n-nut-dark-chocolate-55-rich-in-cocoa-150-g-carton/,Chocolates,Invalid Code,4.3,"Crunchy almonds and handpicked juicy raisins, studded in the smooth texture of dark chocolate. Amul Fruit 'N' Nut Chocolate is a classic combination of 55% cocoa, chocolate with delicious bits of fruit n nut, which has been celebrated for decades and relished even today."
4132,Rich Cocoa Dark Chocolate Bar,Snacks & Branded Foods,Chocolates & Candies,Cadbury Bournville,160.0,200.0,https://www.bigbasket.com/media/uploads/p/s/1206714_4-cadbury-bournville-rich-cocoa-dark-chocolate-bar.jpg,https://www.bigbasket.com/pd/1206714/cadbury-bournville-rich-cocoa-dark-chocolate-bar-2x80-g/,Chocolates,Invalid Code,4.2,"Bournville Rich Cocoa Chocolate is irresistible and specially created to savour the palate with 50% cocoa and an ever so smooth texture, each little chunk is dark and undeniably good! The finest cocoa beans that have the perfect size and aroma go in to the making of the Bournville, offering consumers the sheer luxury and goodness of premium dark chocolate."
4133,Fruit & Nut Chocolate Bar,Snacks & Branded Foods,Chocolates & Candies,Cadbury Dairy Milk,80.0,80.0,https://www.bigbasket.com/media/uploads/p/s/267377_10-cadbury-dairy-milk-fruit-nut-chocolate-bar.jpg,https://www.bigbasket.com/pd/267377/cadbury-dairy-milk-fruit-nut-chocolate-bar-80-g/,Chocolates,7622201504403,4.3,Cadbury Dairy Milk is all about regaling in the chocolates richness andƒ€š‚ creaminess. The classic taste of Cadbury chocolates enriched with the real goodness of nuts and raisins offers you the reason to celebrate every small and big occasion of happiness.
4134,"Crackle Chocolate Bar, 36 g",Snacks & Branded Foods,Chocolates & Candies,Cadbury Dairy Milk,287.04,360.0,https://www.bigbasket.com/media/uploads/p/s/1207402_3-cadbury-dairy-milk-crackle-chocolate-bar-36-g.jpg,https://www.bigbasket.com/pd/1207402/cadbury-dairy-milk-crackle-chocolate-bar-36-g-8x36-g/,Chocolates,Invalid Code,4.2,"Rich, smooth and creamy Classic Milk Chocolate with rice crispies, every bite of Cadbury Dairy Milk Crackle Chocolate Bar is crispier with those little taste explosions in your mouth."
